,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
78,0.4019,Thu Jan 18 13:45:06 +0000 2018,0.0,0.803,0.197,Upcoming Facebook Community Boost Events and What We’ve Learned So Far https://t.co/Zol9l1XETT,79
79,0.368,Fri Jan 12 00:31:56 +0000 2018,0.0,0.734,0.266,News Feed FYI: Bringing People Closer Together https://t.co/vnETChx1ts,80
80,0.0343,Thu Dec 21 01:00:06 +0000 2017,0.186,0.619,0.196,News Feed FYI: Replacing Disputed Flags with Related Articles https://t.co/PEQkpKg6UH,81
81,-0.5267,Tue Dec 19 16:01:21 +0000 2017,0.407,0.465,0.128,New Tools to Prevent Harassment https://t.co/dXFvF9SM64,82
82,0.0,Tue Dec 19 15:30:49 +0000 2017,0.0,1.0,0.0,Managing Your Identity on Facebook with Face Recognition Technology https://t.co/aNl56kQeox,83
83,-0.1027,Tue Dec 19 15:30:09 +0000 2017,0.135,0.865,0.0,Hard Questions: Should I Be Afraid of Face Recognition Technology? https://t.co/tLsnBQINhK,84
84,0.3818,Mon Dec 18 18:50:39 +0000 2017,0.0,0.658,0.342,Reinforcing Our Commitment to Transparency https://t.co/J8TaRajHez,85
85,0.4648,Mon Dec 18 11:00:40 +0000 2017,0.178,0.428,0.394,News Feed FYI: Fighting Engagement Bait on Facebook https://t.co/EIc3nkztEV,86
86,-0.5994,Fri Dec 15 15:00:41 +0000 2017,0.329,0.671,0.0,Hard Questions: Is Spending Time on Social Media Bad for Us? https://t.co/rQ5NmXtDbg,87
87,0.368,Fri Dec 15 15:00:06 +0000 2017,0.0,0.863,0.137,"News Feed FYI: Introducing Snooze, a new option to give you more control of your News Feed https://t.co/u6n9beLdko",88
88,0.3885,Thu Dec 14 17:11:06 +0000 2017,0.0,0.712,0.288,"News Feed FYI: For Video, Intent and Repeat Viewership Matter https://t.co/Mn94gTjQe5",89
89,0.0,Wed Dec 13 17:00:09 +0000 2017,0.0,1.0,0.0,Messenger’s 2017 Year in Review https://t.co/2n3AQribOH,90
90,0.0,Tue Dec 12 14:57:37 +0000 2017,0.0,1.0,0.0,Moving to a Local Selling Model https://t.co/Rj5JjRZVEL,91
91,-0.1779,Fri Dec 08 17:00:53 +0000 2017,0.31,0.442,0.248,Sharing Facebook’s Policy on Sexual Harassment https://t.co/VJn4ywX0wa,92
92,0.5719,Thu Dec 07 20:00:43 +0000 2017,0.0,0.791,0.209,"Celebrating One Year of Games on Messenger with New Features, New Games and More https://t.co/v0aHCj981a",93
93,0.5423,Tue Dec 05 23:15:50 +0000 2017,0.0,0.791,0.209,Facebook's 2017 Year In Review: highlighting the top ways people came together on Facebook to support one another https://t.co/JhwRAs72cK,94
94,0.3182,Mon Dec 04 14:01:32 +0000 2017,0.082,0.748,0.17,"Hard Questions: So Your Kids Are Online, But Will They Be Alright? https://t.co/PXPJ6dqsYn",95
95,-0.6808,Mon Dec 04 14:00:43 +0000 2017,0.338,0.662,0.0,Update on the Global Internet Forum to Counter Terrorism https://t.co/y4WIvarO3x,96
96,0.0,Mon Dec 04 13:03:52 +0000 2017,0.0,1.0,0.0,"Introducing Messenger Kids, a New App For Families to Connect https://t.co/RHSNTkXCfV",97
97,0.4404,Thu Nov 30 18:15:18 +0000 2017,0.0,0.861,0.139,Mark Zuckerberg announced new products &amp; initiatives at Facebook’s 2nd Annual Social Good Forum yesterday in NYC to… https://t.co/qCWN2XfrR2,98
98,0.6808,Wed Nov 29 18:17:32 +0000 2017,0.0,0.714,0.286,Facebook Social Good Forum: Announcing New Tools and Initiatives for Communities to Help Each Other https://t.co/viGnfPCD1E,99
99,-0.7579,Wed Nov 29 00:00:53 +0000 2017,0.376,0.494,0.129,Hard Questions: Are We Winning the War On Terrorism Online? — An update on Facebook's counterterrorism efforts https://t.co/iRr09haIcN,100
100,0.4019,Mon Nov 27 16:13:40 +0000 2017,0.0,0.722,0.278,Getting Our Community Help in Real Time https://t.co/1DHVfIQ3aQ,101
101,0.0,Mon Nov 27 15:00:14 +0000 2017,0.0,1.0,0.0,Our Advertising Principles https://t.co/mjRZuF8VSO,102
102,0.0,Wed Nov 22 17:00:59 +0000 2017,0.0,1.0,0.0,Continuing Transparency on Russian Activity https://t.co/37Rg4phYKR,103
103,0.0,Wed Nov 22 09:00:31 +0000 2017,0.0,1.0,0.0,Announcing Facebook Communities Summit Europe https://t.co/UAYYJybXX7,104
104,0.4404,Tue Nov 21 17:00:42 +0000 2017,0.0,0.791,0.209,Making Visual Messaging Even Better – Introducing High Resolution Photos in Messenger https://t.co/on44cDUIiK,105
105,0.0,Mon Nov 20 17:59:53 +0000 2017,0.0,1.0,0.0,Messenger for Small Businesses: Making Business Personal https://t.co/gZ74moHvmt,106
106,0.0,Thu Nov 16 20:00:17 +0000 2017,0.0,1.0,0.0,Announcing New Tools for the Creator Community https://t.co/ATKZl9JlmK,107
107,0.0258,Thu Nov 16 14:00:31 +0000 2017,0.0,0.864,0.136,Messages Matter: Exploring the Evolution of Conversation https://t.co/EX8wqyeWwg,108
108,0.0,Tue Nov 14 06:36:04 +0000 2017,0.0,1.0,0.0,A New Way to Send a Location in Messenger https://t.co/gc6o5A67jz,109
109,0.0,Thu Nov 09 21:55:41 +0000 2017,0.0,1.0,0.0,The Facts: Non-Consensual Intimate Image Pilot — We recently announced a test that’s a little different from things… https://t.co/7yLc0FO6GO,110
110,0.0,Thu Nov 09 19:19:22 +0000 2017,0.0,1.0,0.0,"Facebook Marketplace enhances home rental experience in the US 
https://t.co/JSltkcUpQp",111
111,0.6597,Thu Nov 09 17:30:27 +0000 2017,0.0,0.759,0.241,"Introducing Facebook Community Boost, a new program to help US small businesses grow and to equip more people with… https://t.co/KmFbZLuOU4",112
112,0.4767,Tue Nov 07 17:00:52 +0000 2017,0.0,0.795,0.205,Send Money to Friends in Messenger – Now in Euros and British Pounds https://t.co/xClIm9BDJ3,113
113,0.0,Wed Nov 01 20:06:38 +0000 2017,0.0,1.0,0.0,Facebook Reports Third Quarter 2017 Results https://t.co/AovIz3z97Y,114
114,0.0,Fri Oct 27 17:00:19 +0000 2017,0.0,1.0,0.0,"An update on our ad transparency and authenticity efforts, including screenshots of new tools https://t.co/1K17BflkTS",115
115,0.5719,Fri Oct 27 13:00:55 +0000 2017,0.0,0.709,0.291,Celebrate Halloween with Spook-tacular Features from Facebook and Messenger https://t.co/tnRYrVyFDg,116
116,0.0,Thu Oct 26 17:15:09 +0000 2017,0.0,1.0,0.0,New Features for Groups to Build Communities https://t.co/RvTpY3C9QP,117
117,0.0,Thu Oct 26 12:45:05 +0000 2017,0.0,1.0,0.0,Marketplace Adds More Options For US Car Shoppers https://t.co/kr6K7mVv0Q,118
118,0.368,Tue Oct 24 14:30:45 +0000 2017,0.0,0.76,0.24,News Feed FYI: Introducing News Feed Publisher Guidelines https://t.co/6YTiuv3oMv,119
119,0.0,Fri Oct 13 13:00:52 +0000 2017,0.0,1.0,0.0,Now You Can Order Food with Facebook https://t.co/8RdDuUlWNm,120
120,-0.1027,Wed Oct 11 22:30:27 +0000 2017,0.085,0.915,0.0,Facebook COO Sheryl Sandberg to take hard questions from @Axios co-founder @mikeallen 10/12 9AM ET https://t.co/F90iER2EYA,121
121,0.3182,Wed Oct 11 19:35:44 +0000 2017,0.0,0.881,0.119,"RT @oculus: Introducing Oculus for Business, a new solution for integrating VR into the workplace. Learn more: https://t.co/K1Qq3Yi07m. #Oc…",122
122,0.4215,Wed Oct 11 17:21:10 +0000 2017,0.0,0.882,0.118,"RT @oculus: The easiest way to experience VR is here with Oculus Go, an all-new standalone headset available early 2018. #OculusConnect htt…",123
123,0.0,Wed Oct 11 17:19:11 +0000 2017,0.0,1.0,0.0,"Oculus Announces New Standalone Headset, ‘Venues’ at Oculus Connect https://t.co/lm03bSj9Od",124
124,0.0,Thu Oct 05 13:01:01 +0000 2017,0.0,1.0,0.0,We're starting a new test to give people additional context on the articles they see in News Feed. https://t.co/uDNcQLzAXx,125
