Date,Open,High,Low,Close,Adj Close,Volume
5/25/2016,13.54,13.605,13.26,13.44,13.44,54500
5/26/2016,13.58,13.58,13.08,13.3,13.3,124300
5/27/2016,13.3,13.75,13.25,13.56,13.56,109200
5/31/2016,13.5,13.57,12.99,13.39,13.39,109500
6/1/2016,13.44,13.81,13.29,13.75,13.75,190300
6/2/2016,13.7,13.82,13.45,13.79,13.79,173800
6/3/2016,13.73,13.94,13.72,13.92,13.92,69500
6/6/2016,13.98,14.1,13.76,13.76,13.76,178900
6/7/2016,14,14,13.63,13.68,13.68,169900
6/8/2016,13.76,13.97,13.6,13.65,13.65,190500
6/9/2016,13.58,13.99,13.51,13.93,13.93,142900
6/10/2016,13.75,13.91,13.49,13.5,13.5,87000
6/13/2016,13.36,13.69,13.12,13.18,13.18,158800
6/14/2016,13.2,13.52,13.1,13.38,13.38,151200
6/15/2016,13.47,14.08,13.47,13.89,13.89,375500
6/16/2016,13.87,14.115,13.69,13.98,13.98,380100
6/17/2016,14.04,14.33,14.02,14.27,14.27,354600
6/20/2016,14.3,14.6,14.225,14.46,14.46,269400
6/21/2016,14.46,14.81,14.35,14.81,14.81,150200
6/22/2016,14.69,14.85,14.27,14.68,14.68,231600
6/23/2016,14.7,14.95,14.54,14.91,14.91,270600
6/24/2016,13.89,14.74,13.75,14.41,14.41,1214400
6/27/2016,14.19,14.82,14.172,14.75,14.75,275700
6/28/2016,14.94,15.86,14.914,15.43,15.43,280300
6/29/2016,15.42,16.08,15.26,16.02,16.02,258500
6/30/2016,16.08,16.58,15.711,16.139999,16.139999,298900
7/1/2016,16,16.57,15.69,16.15,16.15,253600
7/5/2016,16.1,16.1,15.46,15.76,15.76,183000
7/6/2016,15.87,16.639999,15.87,16.43,16.43,264700
7/7/2016,16.389999,16.5,16.32,16.360001,16.360001,131100
7/8/2016,16.32,16.84,16.32,16.51,16.51,288900
7/11/2016,16.709999,16.99,16.610001,16.91,16.91,185800
7/12/2016,16.91,17.209999,16.6,17.110001,17.110001,215700
7/13/2016,17.07,17.290001,16.959999,17.09,17.09,164200
7/14/2016,17.15,17.15,16.709999,17.059999,17.059999,184500
7/15/2016,17.1,17.49,17.01,17.24,17.24,384300
7/18/2016,17.25,17.440001,17.129999,17.41,17.41,215100
7/19/2016,17.42,17.719999,17.360001,17.65,17.65,273200
7/20/2016,17.799999,17.799999,17.299999,17.549999,17.549999,159600
7/21/2016,17.440001,17.65,17.33,17.4,17.4,168800
7/22/2016,17.33,17.42,17.07,17.1,17.1,86000
7/25/2016,16.91,17.43,16.91,17.16,17.16,89000
7/26/2016,17.209999,17.450001,16.98,17.18,17.18,147000
7/27/2016,17.190001,17.33,17.030001,17.26,17.26,216700
7/28/2016,17.799999,17.799999,16.43,17.129999,17.129999,789700
7/29/2016,17,17.67,16.99,17.57,17.57,263300
8/1/2016,17.209999,17.91,17.1,17.780001,17.780001,356100
8/2/2016,17.84,17.98,17.735001,17.950001,17.950001,213300
8/3/2016,17.99,17.99,17.514999,17.709999,17.709999,242200
8/4/2016,17.77,18.09,17.74,17.99,17.99,318500
8/5/2016,18.07,18.35,17.860001,18.25,18.25,719900
8/8/2016,18.299999,19.219999,18.299999,19.18,19.18,616200
8/9/2016,19.16,19.32,18.440001,18.48,18.48,396200
8/10/2016,18.48,18.709999,18.07,18.16,18.16,241600
8/11/2016,18.18,18.25,17.48,17.59,17.59,260500
8/12/2016,17.51,17.57,17.084999,17.450001,17.450001,285500
8/15/2016,17.57,17.860001,17.51,17.629999,17.629999,287100
8/16/2016,17.690001,17.73,17.08,17.24,17.24,274900
8/17/2016,17.299999,17.299999,16.91,17.120001,17.120001,138500
8/18/2016,17.23,17.341999,17.09,17.27,17.27,114100
8/19/2016,17.299999,17.610001,17.23,17.58,17.58,206300
8/22/2016,17.58,17.6,16.83,16.98,16.98,187200
8/23/2016,16.969999,17.365,16.969999,17.290001,17.290001,188000
8/24/2016,17.379999,17.469999,17.27,17.34,17.34,160900
8/25/2016,17.24,17.41,17,17.280001,17.280001,99800
8/26/2016,17.25,17.41,16.99,17.139999,17.139999,229800
8/29/2016,17.200001,17.52,17.190001,17.41,17.41,148100
8/30/2016,17.424999,17.49,17.309999,17.4,17.4,128900
8/31/2016,17.32,17.450001,17.02,17.35,17.35,300700
9/1/2016,17.43,17.636,17.190001,17.549999,17.549999,279900
9/2/2016,17.57,18.049999,17.57,18.02,18.02,261500
9/6/2016,17.610001,18.040001,17.280001,17.450001,17.450001,243900
9/7/2016,17.559999,17.559999,17.15,17.51,17.51,263100
9/8/2016,17.42,17.459999,16.940001,17.120001,17.120001,198900
9/9/2016,17.059999,17.309999,16.709999,17.030001,17.030001,291800
9/12/2016,17,17.219999,16.969999,17.17,17.17,201300
9/13/2016,17.08,17.15,16.870001,17.049999,17.049999,356100
9/14/2016,17,17.49,16.9,17.030001,17.030001,208100
9/15/2016,17,17.129999,16.84,16.99,16.99,305500
9/16/2016,16.99,17.23,16.860001,17.17,17.17,407600
9/19/2016,17.200001,17.6,17.1,17.280001,17.280001,328200
9/20/2016,17.299999,17.67,17.15,17.32,17.32,231900
9/21/2016,17.34,17.549999,17.24,17.51,17.51,103300
9/22/2016,17.5,17.589001,17.309999,17.5,17.5,204900
9/23/2016,17.549999,18.75,17.42,18.549999,18.549999,689200
9/26/2016,18.549999,18.879,18.16,18.57,18.57,501900
9/27/2016,18.65,18.969999,18.465,18.709999,18.709999,681200
9/28/2016,18.68,20.120001,18.610001,19.969999,19.969999,1303700
9/29/2016,20.1,20.379999,19.26,19.92,19.92,976800
9/30/2016,19.969999,19.99,18.98,19.66,19.66,704900
10/3/2016,19.74,19.865999,19.26,19.719999,19.719999,505300
10/4/2016,19.66,20,19.615,19.84,19.84,434500
10/5/2016,20.23,20.83,19.879999,20.290001,20.290001,786300
10/6/2016,20.360001,20.49,19.775,19.93,19.93,646300
10/7/2016,19.91,20.15,19.5,19.85,19.85,763600
10/10/2016,20.02,20.059999,18.709999,18.73,18.73,875200
10/11/2016,18.309999,18.66,17.43,18.049999,18.049999,2263800
10/12/2016,18.049999,18.049999,17.25,17.450001,17.450001,543700
10/13/2016,17.4,17.530001,16.969999,17.360001,17.360001,739200
10/14/2016,17.52,17.99,17.400999,17.709999,17.709999,373000
10/17/2016,17.549999,17.85,17,17.1,17.1,471200
10/18/2016,17.25,17.75,16.950001,17.700001,17.700001,719900
10/19/2016,17.700001,18.049999,17.700001,17.700001,17.700001,350200
10/20/2016,17.75,17.875,17.4,17.700001,17.700001,507300
10/21/2016,17.6,18.075001,17.4,18.049999,18.049999,303000
10/24/2016,18.200001,18.9,18.15,18.549999,18.549999,577000
10/25/2016,18.5,18.6,18.1,18.450001,18.450001,369800
10/26/2016,18.299999,18.4,17.75,17.9,17.9,585400
10/27/2016,19,21.049999,19,20.049999,20.049999,1835600
10/28/2016,19.950001,20.299999,19.799999,20.200001,20.200001,435900
10/31/2016,20.35,21,20.129999,20.700001,20.700001,507300
11/1/2016,20.6,21,19.975,20.200001,20.200001,398200
11/2/2016,20.299999,20.299999,19.150999,20.1,20.1,266400
11/3/2016,20.1,20.25,19.621,19.9,19.9,351100
11/4/2016,19.549999,19.799999,19.155001,19.65,19.65,193300
11/7/2016,19.75,20.1,19.700001,19.85,19.85,240700
11/8/2016,19.75,20.35,19.75,20.25,20.25,2674900
11/9/2016,19.950001,20.450001,19,20.049999,20.049999,321900
11/10/2016,20.200001,20.25,19.75,19.85,19.85,174000
11/11/2016,19.85,20.1,19.5,20.049999,20.049999,268800
11/14/2016,20.1,20.35,19.75,20.299999,20.299999,248100
11/15/2016,20.450001,21.65,20.450001,20.799999,20.799999,661600
