,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
61,0.4019,Mon May 21 10:11:38 +0000 2018,0.0,0.881,0.119,"@TomWhite_PT Yes, MINDBODY is now compliant with GDPR and you can find further details and FAQs for your business f… https://t.co/5VS7g45v7T",62
62,0.8555,Sat May 19 13:46:19 +0000 2018,0.0,0.606,0.394,MINDBODY is a proud sponsor of @GEHFM. Global Employee Health and Fitness Month aims to promote the benefits of a h… https://t.co/eHFvhefqhW,63
63,0.0,Sat May 19 08:47:21 +0000 2018,0.0,1.0,0.0,"@lashexecutive There isn't anyone available at the weekend, apologies. If you DM us your contact information and wh… https://t.co/7KcpQddeKl",64
64,0.128,Sat May 19 06:35:57 +0000 2018,0.089,0.802,0.11,"@lashexecutive Hi Danielle, if you could drop us a DM with your feedback we'll ensure the feedback will be given to… https://t.co/PXtuu48OSp",65
65,0.5106,Thu May 17 17:00:59 +0000 2018,0.0,0.807,0.193,"@RandyJLaBelle Hi Randy, thank you for reaching out. We are all systems operational at this time. Was there anythin… https://t.co/zzKqdk8lcA",66
66,-0.7717,Wed May 16 18:31:37 +0000 2018,0.326,0.674,0.0,"Stop stressing. @thrive suggests two ways to leave your work stress at your desk, and not bring it home with you. 

https://t.co/FxjcVw1OJ0",67
67,0.3612,Wed May 16 01:10:19 +0000 2018,0.055,0.83,0.115,"We know how easy it is to skip a workout. Whether it's because you're too busy or the workout seems too hard, thank… https://t.co/z5jpQqRYdK",68
68,0.0,Tue May 15 00:56:44 +0000 2018,0.0,1.0,0.0,"New filters, new categories, new customers. Check out what's new on the #MINDBODY app:
https://t.co/WxRK62pfj0",69
69,0.8934,Fri May 11 18:49:10 +0000 2018,0.0,0.485,0.515,"Dear Moms, Thank you for making the world a better place. Happy #MothersDay @YosoWellness @theLONDONmethod… https://t.co/eQHG4AiPlI",70
70,0.6369,Fri May 11 17:52:26 +0000 2018,0.0,0.766,0.234,RT @LeadEdgeCapital: #LECbacked @mindbodyonline joins forces with @PHAnews to expand wellness programs on college campuses and in the workp…,71
71,0.6696,Fri May 11 17:52:08 +0000 2018,0.0,0.572,0.428,"@kaitvad @instagram We love this feature, Kaitlyn!",72
72,0.4199,Fri May 11 17:51:42 +0000 2018,0.0,0.417,0.583,@MarinPilates Thank you!,73
73,0.0,Fri May 11 17:51:08 +0000 2018,0.0,1.0,0.0,Go Rick! @stollmeyer @BlueGoji #PHASummit https://t.co/5iA9HBp52I,74
74,0.8481,Fri May 11 00:06:36 +0000 2018,0.0,0.595,0.405,"We're proud to support the #PHITAct, a campaign designed to increase physical activity and fitness, the PHIT Act ha… https://t.co/hfGmJHSSIC",75
75,0.7088,Wed May 09 07:02:12 +0000 2018,0.0,0.723,0.277,"@amarinswierdsma Hello Amarins, Thank you for reaching out to us! Can you please send a direct message to us with t… https://t.co/DTcvnqWVU1",76
76,0.0,Wed May 09 02:13:50 +0000 2018,0.0,1.0,0.0,"Soon you’ll be able to make it possible for your @instagram followers to take immediate action, and book with you,… https://t.co/5G17z6BCk6",77
77,0.6124,Wed May 09 01:19:53 +0000 2018,0.0,0.792,0.208,"@catfemme8 Hi Joanne, There is likely something that can be done here. Please help us with these questions: (1) Wha… https://t.co/KspUFvf4RC",78
78,0.636,Mon May 07 23:56:20 +0000 2018,0.0,0.544,0.456,Congratulations to our @FitnessMetrix teammates! https://t.co/DpPwA6YB9q,79
79,0.6249,Mon May 07 19:47:27 +0000 2018,0.0,0.779,0.221,"@JCatrambone Hi Joseph, 
Thanks for taking the time to share your user experience with us. Your feedback is importa… https://t.co/k6tb8gLf3C",80
80,0.6369,Mon May 07 17:05:58 +0000 2018,0.0,0.776,0.224,"@rylanddanger Hi Ryland, thank you for your prompt response. We do appreciate you taking your time to provide feedb… https://t.co/JY47xys4R1",81
81,0.8934,Mon May 07 15:56:22 +0000 2018,0.0,0.557,0.443,"@rylanddanger Hi Ryland, thank you for reaching out. We certainly appreciate your feedback. Feel free to DM us if y… https://t.co/igXa9vCllg",82
82,0.0,Sat May 05 16:07:27 +0000 2018,0.0,1.0,0.0,"@SenatorRoo Hi Gene, we can confirm with the MINDBODY® App you cannot schedule multiple Classes at once and do need… https://t.co/oPeaUpi80J",83
83,0.3612,Sat May 05 15:46:36 +0000 2018,0.0,0.884,0.116,"@SenatorRoo Hi Gene, thank you for contacting us. We suggest uninstalling the app and reinstalling it to refresh. I… https://t.co/LqAAbJYslM",84
84,0.4404,Fri May 04 22:04:29 +0000 2018,0.0,0.854,0.146,"@claire_anderson Hello Clare, 
Thanks for the  feedback. We developed the MINDBODY® app to be more consistent acros… https://t.co/tIcESrNx9q",85
85,0.0,Fri May 04 20:56:06 +0000 2018,0.0,1.0,0.0,"@merakioakville Hello, We checked the status of your request to speak with a supervisor. You should be hearing back… https://t.co/SNWmPkoT2s",86
86,0.7506,Fri May 04 19:49:51 +0000 2018,0.0,0.758,0.242,"Spend less time at your desk, and more time doing what you love with your customers. @KKfitcoach will share the top… https://t.co/CFJHyoUEA3",87
87,0.0,Fri May 04 19:15:54 +0000 2018,0.0,1.0,0.0,@merakioakville Once a work item has been completed by our development team it will be released in a future update… https://t.co/tD9qBw6eAO,88
88,0.128,Fri May 04 19:14:17 +0000 2018,0.102,0.694,0.204,@merakioakville (1/2) Thank you for taking the time to reach out to us. We apologize for the inconvenience this may… https://t.co/rDZIbwdxh1,89
89,-0.1531,Fri May 04 00:39:12 +0000 2018,0.071,0.929,0.0,@swingbylou (2/2) it will be released in a future update of the software and all those affected by it will be autom… https://t.co/Pl4XvLFCQl,90
90,0.6369,Fri May 04 00:38:11 +0000 2018,0.0,0.776,0.224,@swingbylou (1/2) Thanks for taking the time to write in checking on this work item.  Please understand that while… https://t.co/zasSApEETd,91
91,0.6588,Thu May 03 20:59:36 +0000 2018,0.0,0.477,0.523,@BarreworksTO @SojournHouse This is awesome!,92
92,0.3612,Thu May 03 20:58:08 +0000 2018,0.0,0.872,0.128,"RT @PHAnews: .@ColemanFung founder of @BlueGoji, @stollmeyer Co-founder of @mindbodyonline &amp; Kapil Parakh, Medical Lead, Google Fit sharing…",93
93,0.0,Thu May 03 20:57:09 +0000 2018,0.0,1.0,0.0,@toni_carey @PHAnews @stollmeyer We are too!,94
94,0.7003,Thu May 03 20:55:57 +0000 2018,0.0,0.734,0.266,"We’re thrilled to announce our new partnership with @PHAnews to connect people to wellness nationwide, by subsidizi… https://t.co/tC9IRmT3OU",95
95,0.6124,Thu May 03 07:38:07 +0000 2018,0.0,0.75,0.25,@sabrina Thank you so much for your detailed recommendation. We will make sure it reaches our development team to b… https://t.co/W37BMUoUO6,96
96,0.5859,Thu May 03 05:37:28 +0000 2018,0.055,0.742,0.203,"@sabrina Thank you so much for your feedback. 
We appreciate change is hard to get used to we've attempted to imple… https://t.co/XG85tFPn5f",97
97,0.4019,Thu May 03 02:43:18 +0000 2018,0.0,0.876,0.124,"@jlabscreative (2/2)
 The ads that you are referring to are actually deals or special offers that local business in… https://t.co/oklpygACei",98
98,0.6369,Thu May 03 02:41:44 +0000 2018,0.0,0.811,0.189,@jlabscreative (1/2)Thanks for the clarification. We would love to take a closer look at the issues you are describ… https://t.co/aatQvbEzU5,99
99,0.5859,Thu May 03 00:54:41 +0000 2018,0.055,0.742,0.203,"@jlabscreative HI Jason, Thank you so much for your feedback. We appreciate change is hard to get used to. We've at… https://t.co/9EdBRbJjDx",100
100,0.6369,Wed May 02 20:41:16 +0000 2018,0.0,0.785,0.215,Excited to announce the new #MINDBODY app that makes it easier for you to book classes and appointments offered at… https://t.co/A1fkH0bW4p,101
101,0.8657,Wed May 02 16:19:03 +0000 2018,0.0,0.686,0.314,@Aja_Lauren We are so happy you're enjoying the latest update of the MINDBODY app! There are many new features our… https://t.co/IUeNHYSar8,102
102,0.7351,Wed May 02 06:11:26 +0000 2018,0.0,0.446,0.554,@ashrendell Thank you Ashlea. 🌺Have a wonderful day,103
103,0.7783,Wed May 02 05:25:12 +0000 2018,0.053,0.639,0.308,@ashrendell You are always welcome Ashlea and thank you so much for your feedback. We appreciate change is hard to… https://t.co/1IpIRP6wLM,104
104,0.6476,Wed May 02 05:16:51 +0000 2018,0.0,0.791,0.209,"@ashrendell Hello Ashlea,
Is there anything that we can help? We are always here for you!
Please also see our suppo… https://t.co/cQxyjjDbt6",105
105,0.3818,Tue May 01 22:56:42 +0000 2018,0.0,0.88,0.12,@askmindbody The AutoPay Detail report is still unavailable. We are working to resolve this as soon as possible. If… https://t.co/4Inr8X5DiO,106
